Date,Open,High,Low,Close,Volume,Daily_Return,MA_3
2026-07-20,350.88,359.68,350.52,351.99,24736644.0,1.5053205294575767,351.0733333333333
2026-07-21,351.32,351.32,347.0,347.15,23369833.0,-1.3750390636097731,348.6366666666666
2026-07-22,348.155,349.94,341.73,342.09,39334140.0,-1.4575831773008807,347.07666666666665
2026-07-23,321.13,324.49,314.9,317.69,69419700.0,-7.1326259171562985,335.64333333333326
2026-07-24,318.42,324.18,317.32,319.74,31806553.0,0.6452831376499102,326.50666666666666
2026-07-27,325.04,330.42,324.45,326.56,28471593.0,2.1329830487270884,321.33
2026-07-28,327.9,335.88,324.44,333.71,29511940.0,2.1894904458598763,326.67
2026-07-29,334.665,342.5,331.62,336.71,27501632.0,0.8989841479128513,332.32666666666665
2026-07-30,334.195,336.51,330.34,333.66,30168000.0,-0.9058240028511078,334.6933333333333
2026-07-31,340.83,358.58,340.0,356.13,46498023.0,6.734400287718034,342.1666666666667
2026-08-03,365.445,376.6932,363.35,373.51,38669652.0,4.8802403616656775,354.43333333333334
2026-08-04,368.22,380.52,367.5,377.65,35705703.0,1.1084040587935995,369.09666666666664
2026-08-05,383.34,384.48,356.77,362.43,46926339.0,-4.0301866807890825,371.1966666666667
2026-08-06,360.77,364.1259,356.88,357.75,25235895.0,-1.2912838341196942,365.9433333333333
2026-08-07,356.72,358.9,353.78,354.3,19859905.0,-0.9643605870020888,358.16
2026-08-10,355.175,357.61,352.71,357.52,18991368.0,0.9088343211967276,356.5233333333333
2026-08-11,355.89,356.81,343.39,343.8,29081802.0,-3.8375475497874123,351.8733333333333
2026-08-12,346.31,346.48,340.88,343.54,25011987.0,-0.07562536358347582,348.2866666666667
2026-08-13,345.77,347.93,343.76,346.36,17866072.0,0.8208651103219333,344.56666666666666
2026-08-14,346.8,350.45,344.5,345.9,17808598.0,-0.13280979327867648,345.26666666666665
2026-08-17,346.265,347.25,341.93,344.0,18291309.0,-0.5492917028042776,345.42
2026-08-18,342.405,344.8699,340.19,344.2,19248828.0,0.05813953488371659,344.7
2026-08-19,342.455,346.73,340.66,344.72,19733808.0,0.1510749564207048,344.3066666666667
2026-08-20,343.06,343.9,338.5651,340.67,18570357.0,-1.1748665583662166,343.1966666666667
2026-08-21,342.575,346.2,340.4,344.82,20849776.0,1.2181876889658438,343.40333333333336
2026-08-24,343.615,351.6,342.49,348.06,26338229.0,0.9396206716547839,344.51666666666665
2026-08-25,349.64,350.16,345.6,346.96,20649680.0,-0.3160374648049302,346.6133333333333
2026-08-26,346.62,346.88,340.18,342.0,20420257.0,-1.429559603412489,345.67333333333335
2026-08-27,339.67,341.69,338.52,340.65,23391389.0,-0.39473684210526994,343.2033333333334
2026-08-28,340.705,349.14,340.27,346.59,25347206.0,1.7437252311756968,343.08
2026-08-31,343.825,344.59,337.156,339.35,33493632.0,-2.088923511930507,342.19666666666666
2026-09-01,336.0,337.2,333.05,335.02,23342665.0,-1.2759687638131845,340.32
2026-09-02,334.06,340.0,332.82,337.12,22582286.0,0.6268282490597743,337.16333333333336
2026-09-03,340.56,344.68,340.06,342.48,20726904.0,1.5899383009017498,338.20666666666665
2026-09-04,342.465,343.53,337.09,338.46,23189321.0,-1.1737911702873305,339.3533333333333
